idx,Cluster
41,0
113,0
153,0
161,0
162,0
163,0
168,0
182,0
187,0
266,0
323,0
362,0
378,0
386,0
401,0
406,0
411,0
428,0
435,0
453,0
501,0
555,0
646,0
660,0
665,0
666,0
669,0
676,0
729,0
744,0
789,0
899,0
937,0
940,0
962,0
965,0
966,0
969,0
971,0
973,0
975,0
979,0
982,0
985,0
994,0
1100,0
1101,0
1102,0
34,1
93,1
96,1
112,1
145,1
154,1
157,1
158,1
159,1
166,1
175,1
177,1
179,1
191,1
426,1
427,1
429,1
430,1
431,1
432,1
433,1
436,1
437,1
438,1
439,1
440,1
441,1
442,1
443,1
444,1
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,1
455,1
573,1
600,1
654,1
928,1
929,1
931,1
932,1
933,1
934,1
935,1
938,1
939,1
941,1
942,1
943,1
944,1
945,1
946,1
947,1
948,1
949,1
950,1
952,1
953,1
1086,1
126,2
127,2
128,2
129,2
130,2
131,2
132,2
133,2
134,2
135,2
136,2
137,2
138,2
139,2
140,2
141,2
142,2
144,2
146,2
147,2
164,2
183,2
383,2
410,2
423,2
425,2
605,2
607,2
615,2
637,2
639,2
640,2
641,2
642,2
643,2
645,2
647,2
648,2
649,2
650,2
651,2
652,2
658,2
662,2
663,2
671,2
673,2
678,2
681,2
806,2
852,2
1024,2
1025,2
1034,2
1041,2
7,3
15,3
20,3
29,3
39,3
47,3
66,3
87,3
102,3
107,3
109,3
110,3
116,3
118,3
255,3
261,3
308,3
320,3
342,3
381,3
478,3
537,3
551,3
568,3
777,3
785,3
797,3
804,3
808,3
829,3
834,3
844,3
858,3
865,3
879,3
902,3
903,3
909,3
910,3
918,3
919,3
970,3
980,3
988,3
998,3
1003,3
1010,3
1013,3
1026,3
1030,3
1,4
2,4
3,4
4,4
6,4
8,4
9,4
10,4
11,4
12,4
14,4
16,4
17,4
18,4
19,4
21,4
22,4
23,4
25,4
26,4
27,4
28,4
30,4
33,4
36,4
37,4
38,4
40,4
42,4
43,4
45,4
46,4
48,4
49,4
50,4
51,4
52,4
53,4
54,4
55,4
56,4
57,4
58,4
59,4
61,4
62,4
64,4
65,4
69,4
70,4
72,4
75,4
77,4
78,4
80,4
82,4
83,4
85,4
86,4
88,4
89,4
90,4
92,4
94,4
97,4
99,4
100,4
106,4
111,4
115,4
120,4
121,4
122,4
125,4
148,4
149,4
152,4
156,4
160,4
165,4
167,4
170,4
171,4
174,4
176,4
178,4
180,4
184,4
186,4
188,4
189,4
190,4
192,4
194,4
196,4
198,4
202,4
206,4
208,4
209,4
212,4
214,4
215,4
216,4
218,4
219,4
223,4
229,4
232,4
236,4
241,4
244,4
245,4
247,4
248,4
249,4
250,4
251,4
256,4
257,4
262,4
265,4
267,4
268,4
270,4
274,4
275,4
276,4
278,4
279,4
280,4
281,4
283,4
291,4
293,4
300,4
303,4
305,4
311,4
312,4
314,4
315,4
317,4
322,4
324,4
325,4
330,4
331,4
334,4
335,4
336,4
338,4
359,4
363,4
365,4
366,4
368,4
372,4
373,4
376,4
380,4
382,4
384,4
385,4
387,4
388,4
390,4
394,4
395,4
397,4
399,4
412,4
419,4
434,4
454,4
456,4
457,4
458,4
461,4
464,4
465,4
